Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A666840,,11/07/2013 07:47:00 PM,11/07/2013 07:47:00 PM,7600 Blessing Ave in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever/Rottweiler,Black,,11/08/2013 03:01:00 PM,11/08/2013 03:01:00 PM,09/07/2013,Dog,Intact Male,2 months,Labrador Retriever/Rottweiler,Black,0.0
A761090,,10/28/2017 06:43:00 PM,10/28/2017 06:43:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White,,11/01/2017 10:55:00 AM,11/01/2017 10:55:00 AM,10/28/2015,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White,0.0
A764734,,01/05/2018 11:32:00 AM,01/05/2018 11:32:00 AM,505 E Huntland Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Gray Tabby/White,,01/08/2018 05:49:00 PM,01/08/2018 05:49:00 PM,01/05/2017,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Gray Tabby/White,0.0
A713303,,10/05/2015 01:20:00 PM,10/05/2015 01:20:00 PM,7600 Burnet Rd in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby/White,,10/05/2015 04:28:00 PM,10/05/2015 04:28:00 PM,09/05/2015,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby/White,0.0
A718086,,12/21/2015 11:16:00 AM,12/21/2015 11:16:00 AM,3102 Windsor Rd in Austin (TX),Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby,,12/27/2015 05:27:00 PM,12/27/2015 05:27:00 PM,06/21/2015,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby,0.0
A795890,*Lucky Day,05/25/2019 04:05:00 PM,05/25/2019 04:05:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Black,*Lucky Day,06/05/2019 01:15:00 PM,06/05/2019 01:15:00 PM,03/18/2019,Cat,Neutered Male,2 months,Domestic Shorthair,Black,0.0
A701338,,04/27/2015 11:12:00 PM,04/27/2015 11:12:00 PM,4414 E. St Elmo Rd in Austin (TX),Stray,Sick,Dog,Spayed Female,13 years,Chihuahua Shorthair Mix,Black/White,,04/29/2015 08:34:00 AM,04/29/2015 08:34:00 AM,04/28/2002,Dog,Spayed Female,13 years,Chihuahua Shorthair Mix,Black/White,1.0
A683642,Mimi,07/13/2014 11:02:00 AM,07/13/2014 11:02:00 AM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Female,4 weeks,Boston Terrier Mix,Brown Brindle/White,Mimi,10/30/2014 04:43:00 PM,10/30/2014 04:43:00 PM,06/13/2014,Dog,Spayed Female,4 months,Boston Terrier Mix,Brown Brindle/White,0.0
A772504,,05/20/2018 01:53:00 PM,05/20/2018 01:53:00 PM,14807 C Swiss Drive in Del Valle (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,White/Cream,,05/20/2018 03:24:00 PM,05/20/2018 03:24:00 PM,05/10/2018,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,White/Cream,0.0
A703487,Karhu,06/02/2015 02:46:00 PM,06/02/2015 02:46:00 PM,2905 Noack Dr in Travis (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black,Karhu,06/09/2015 10:33:00 AM,06/09/2015 10:33:00 AM,05/25/2012,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black,0.0
A790242,,03/06/2019 05:48:00 PM,03/06/2019 05:48:00 PM,2605 Parker Lane in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Gray Tabby,,03/06/2019 06:08:00 PM,03/06/2019 06:08:00 PM,02/13/2019,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Gray Tabby,0.0
A782684,Kenny,10/19/2018 03:44:00 PM,10/19/2018 03:44:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby,Kenny,11/17/2018 02:59:00 PM,11/17/2018 02:59:00 PM,10/19/2008,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby,0.0
A806768,Texas,10/15/2019 12:28:00 PM,10/15/2019 12:28:00 PM,Lockwood Road And Taylor Lane in Travis (TX),Stray,Normal,Dog,Intact Male,6 months,Black Mouth Cur,Brown/Black,Texas,12/08/2019 02:06:00 PM,12/08/2019 02:06:00 PM,04/15/2019,Dog,Neutered Male,7 months,Black Mouth Cur,Brown/Black,0.0
A677960,Bungee,05/02/2014 11:45:00 AM,05/02/2014 11:45:00 AM,Manor (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Yorkshire Terrier/Maltese,Cream,Bungee,05/16/2014 12:38:00 PM,05/16/2014 12:38:00 PM,05/01/2011,Dog,Neutered Male,3 years,Yorkshire Terrier/Maltese,Cream,1.0
A769985,Queen Marie,04/13/2018 04:57:00 PM,04/13/2018 04:57:00 PM,Unkown in Austin (TX),Stray,Normal,Other,Intact Female,1 year,New Zealand Wht Mix,White,Queen Marie,04/24/2018 11:36:00 AM,04/24/2018 11:36:00 AM,04/13/2017,Other,Intact Female,1 year,New Zealand Wht Mix,White,0.0
A698675,Parker,03/16/2015 10:41:00 AM,03/16/2015 10:41:00 AM,5317 Wellington in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,Parker,12/08/2015 12:00:00 AM,12/08/2015 12:00:00 AM,03/16/2013,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,0.0
A715501,*Linus,11/05/2015 12:08:00 PM,11/05/2015 12:08:00 PM,4605 Button Bend in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,*Linus,12/01/2015 09:07:00 AM,12/01/2015 09:07:00 AM,09/20/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A756714,Luna,08/23/2017 06:54:00 PM,08/23/2017 06:54:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Medium Hair Mix,Blue Tabby/White,Luna,08/29/2017 06:22:00 PM,08/29/2017 06:22:00 PM,04/24/2017,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Blue Tabby/White,0.0
A761008,Luna,10/27/2017 05:00:00 PM,10/27/2017 05:00:00 PM,9609 Night Star Dr in Del Valle (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black,Luna,01/08/2018 04:03:00 PM,01/08/2018 04:03:00 PM,07/27/2017,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black,0.0
A711865,*Mavis,09/12/2015 03:17:00 PM,09/12/2015 03:17:00 PM,E Koenig Ln And Duval St in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Bruss Griffon Mix,Black/White,*Mavis,09/19/2015 01:15:00 PM,09/19/2015 01:15:00 PM,02/13/2015,Dog,Intact Female,7 months,Bruss Griffon Mix,Black/White,0.0
A780888,,09/21/2018 01:50:00 PM,09/21/2018 01:50:00 PM,55 King Lane in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,White/Blue Tabby,,09/25/2018 04:24:00 PM,09/25/2018 04:24:00 PM,07/18/2018,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Blue Tabby,0.0
A770192,Blue,04/16/2018 12:05:00 PM,04/16/2018 12:05:00 PM,E Stassney And S Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,White/Blue,Blue,04/17/2018 07:06:00 PM,04/17/2018 07:06:00 PM,04/16/2015,Dog,Intact Male,3 years,Pit Bull Mix,White/Blue,0.0
A765356,Pete,01/21/2018 05:51:00 PM,01/21/2018 05:51:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Beagle Mix,White/Tan,Pete,01/26/2018 03:36:00 PM,01/26/2018 03:36:00 PM,01/18/2011,Dog,Neutered Male,7 years,Beagle Mix,White/Tan,0.0
A789066,Dodger,02/13/2019 07:03:00 PM,02/13/2019 07:03:00 PM,Viewpoint Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Doberman Pinsch Mix,Chocolate/Tan,Dodger,02/15/2019 12:38:00 PM,02/15/2019 12:38:00 PM,02/13/2018,Dog,Intact Male,1 year,Doberman Pinsch Mix,Chocolate/Tan,0.0
A562528,Bruno,07/08/2018 04:48:00 PM,07/08/2018 04:48:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,9 years,Pit Bull Mix,Black Brindle/White,Bruno,07/19/2018 06:48:00 PM,07/19/2018 06:48:00 PM,04/09/2009,Dog,Neutered Male,9 years,Pit Bull Mix,Black Brindle/White,0.0
A664685,,10/07/2013 03:13:00 PM,10/07/2013 03:13:00 PM,401 Barrett Ln in Travis (TX),Wildlife,Sick,Other,Unknown,6 months,Bat Mix,Gray,,10/07/2013 03:33:00 PM,10/07/2013 03:33:00 PM,04/07/2013,Other,Unknown,6 months,Bat Mix,Gray,1.0
A684605,*Jimmy,07/26/2014 09:38:00 AM,07/26/2014 09:38:00 AM,183 And Vargas in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Pit Bull Mix,Tan/White,*Jimmy,08/17/2014 05:13:00 PM,08/17/2014 05:13:00 PM,08/26/2013,Dog,Neutered Male,11 months,Pit Bull Mix,Tan/White,0.0
A666476,Ruby Lee,11/01/2013 06:16:00 PM,11/01/2013 06:16:00 PM,2501 E. Riverside in Austin (TX),Public Assist,Normal,Dog,Spayed Female,1 year,Cairn Terrier Mix,Cream,Ruby Lee,11/02/2013 11:00:00 AM,11/02/2013 11:00:00 AM,05/01/2012,Dog,Spayed Female,1 year,Cairn Terrier Mix,Cream,0.0
A703477,,05/25/2015 11:05:00 AM,05/25/2015 11:05:00 AM,7817 Overstreet Cir in Mustang Ridge (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,,05/25/2015 02:05:00 PM,05/25/2015 02:05:00 PM,04/18/2015,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,1.0
A675487,,03/28/2014 11:36:00 AM,03/28/2014 11:36:00 AM,130 And 290 in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Boxer Mix,Brown Brindle/White,,04/06/2014 02:58:00 PM,04/06/2014 02:58:00 PM,03/28/2012,Dog,Spayed Female,2 years,Boxer Mix,Brown Brindle/White,0.0
A781663,,10/03/2018 01:56:00 PM,10/03/2018 01:56:00 PM,9218 Singing Quail Road in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Smooth Fox Terrier Mix,White/Black,,10/09/2018 07:15:00 PM,10/09/2018 07:15:00 PM,03/09/2018,Dog,Neutered Male,7 months,Smooth Fox Terrier Mix,White/Black,0.0
A787670,,01/17/2019 06:56:00 PM,01/17/2019 06:56:00 PM,8603 Woodstone Drive in Austin (TX),Stray,Normal,Cat,Unknown,2 years,Domestic Shorthair Mix,Blue,,01/21/2019 06:12:00 PM,01/21/2019 06:12:00 PM,01/17/2017,Cat,Unknown,2 years,Domestic Shorthair Mix,Blue,0.0
A811102,,12/27/2019 07:02:00 PM,12/27/2019 07:02:00 PM,910 Water Lane in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Australian Cattle Dog,Tan/Red Merle,,01/02/2020 06:43:00 PM,01/02/2020 06:43:00 PM,10/27/2019,Dog,Neutered Male,2 months,Australian Cattle Dog,Tan/Red Merle,0.0
A749612,*Prince,05/17/2017 11:29:00 AM,05/17/2017 11:29:00 AM,7700 Beauregard Cir in Austin (TX),Stray,Normal,Dog,Intact Male,1 day,Labrador Retriever Mix,White/Gray,*Prince,07/18/2017 12:00:00 PM,07/18/2017 12:00:00 PM,05/16/2017,Dog,Neutered Male,2 months,Labrador Retriever Mix,White/Gray,0.0
A800648,*Augie,07/24/2019 02:22:00 PM,07/24/2019 02:22:00 PM,2109 Maxwell Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Black Mouth Cur/Boxer,Tan/Black,*Augie,08/13/2019 06:05:00 PM,08/13/2019 06:05:00 PM,07/24/2017,Dog,Neutered Male,2 years,Black Mouth Cur/Boxer,Tan/Black,0.0
A669584,Pepper,12/23/2013 02:12:00 PM,12/23/2013 02:12:00 PM,303 John Nance Garner in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Cardigan Welsh Corgi Mix,Tan,Pepper,12/28/2013 06:54:00 PM,12/28/2013 06:54:00 PM,12/23/2011,Dog,Spayed Female,2 years,Cardigan Welsh Corgi Mix,Tan,0.0
A727512,,05/22/2016 05:51:00 PM,05/22/2016 05:51:00 PM,1St And Guadalupe in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,05/23/2016 10:25:00 AM,05/23/2016 10:25:00 AM,05/22/2015,Other,Unknown,1 year,Bat Mix,Brown,1.0
A752957,Percy,06/29/2017 12:39:00 PM,06/29/2017 12:39:00 PM,701 W Longspur Blvd in Austin (TX),Stray,Normal,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Blue,Percy,07/03/2017 06:39:00 PM,07/03/2017 06:39:00 PM,01/29/2017,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Blue,0.0
A797893,,06/19/2019 09:40:00 AM,06/19/2019 09:40:00 AM,Kellam Rd & Hwy 71 in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,Pug,Fawn/Black,,06/23/2019 11:38:00 AM,06/23/2019 11:38:00 AM,06/19/2012,Dog,Spayed Female,7 years,Pug,Fawn/Black,0.0
A765112,Sabrina,01/13/2018 11:44:00 AM,01/13/2018 11:44:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 months,Siamese Mix,Seal Point,Sabrina,01/20/2018 03:22:00 PM,01/20/2018 03:22:00 PM,09/13/2017,Cat,Intact Female,4 months,Siamese Mix,Seal Point,0.0
A707296,Billy,07/11/2015 11:03:00 AM,07/11/2015 11:03:00 AM,Hokanson Rd And Peterson Rd in Del Valle (TX),Stray,Normal,Dog,Intact Male,4 weeks,Chihuahua Shorthair,Buff,Billy,08/14/2015 01:20:00 PM,08/14/2015 01:20:00 PM,06/13/2015,Dog,Neutered Male,2 months,Chihuahua Shorthair,Buff,0.0
A803326,Trey,08/30/2019 03:53:00 PM,08/30/2019 03:53:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,5 months,Rat,White/Black,Trey,09/03/2019 05:01:00 PM,09/03/2019 05:01:00 PM,03/01/2019,Other,Intact Male,6 months,Rat,White/Black,0.0
A734227,Frankie,09/03/2016 01:05:00 PM,09/03/2016 01:05:00 PM,2208 E 18Th St in Austin (TX),Public Assist,Normal,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown,Frankie,09/14/2016 03:52:00 PM,09/14/2016 03:52:00 PM,05/03/2015,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown,0.0
A685428,,08/07/2014 12:10:00 PM,08/07/2014 12:10:00 PM,1110 Claire Ave in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,08/08/2014 08:13:00 AM,08/08/2014 08:13:00 AM,08/07/2013,Other,Unknown,1 year,Bat,Brown,1.0
A711462,*Ballou,09/07/2015 12:01:00 PM,09/07/2015 12:01:00 PM,Bawerly Ranch Estates in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,Australian Cattle Dog Mix,Blue Tick/Black,*Ballou,09/13/2015 07:06:00 PM,09/13/2015 07:06:00 PM,10/07/2014,Dog,Neutered Male,11 months,Australian Cattle Dog Mix,Blue Tick/Black,0.0
A794029,Isla,05/03/2019 11:46:00 AM,05/03/2019 11:46:00 AM,1101 Mearns Meadow in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Australian Kelpie Mix,Black/White,Isla,09/03/2019 06:57:00 AM,09/03/2019 06:57:00 AM,05/03/2018,Dog,Spayed Female,1 year,Australian Kelpie Mix,Black/White,0.0
A805304,*Gavroche,09/25/2019 11:12:00 AM,09/25/2019 11:12:00 AM,7703 Whitsun Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black/White,*Gavroche,01/07/2020 06:11:00 PM,01/07/2020 06:11:00 PM,08/19/2019,Cat,Neutered Male,4 months,Domestic Shorthair,Black/White,0.0
A671085,Obi,01/18/2014 11:26:00 AM,01/18/2014 11:26:00 AM,S 6Th And W Johanna in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Belgian Malinois Mix,Brown/Black,Obi,01/22/2014 05:05:00 PM,01/22/2014 05:05:00 PM,11/18/2013,Dog,Neutered Male,2 months,Belgian Malinois Mix,Brown/Black,0.0
A730830,*Leon,07/11/2016 12:29:00 PM,07/11/2016 12:29:00 PM,7417 Dee Gabriel Collins Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Shepherd Mix,Brown,*Leon,07/16/2016 06:25:00 PM,07/16/2016 06:25:00 PM,07/11/2015,Dog,Neutered Male,1 year,Australian Shepherd Mix,Brown,0.0
A700817,*Montie,04/20/2015 10:03:00 AM,04/20/2015 10:03:00 AM,183 & Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White/Brown,*Montie,05/16/2015 06:58:00 PM,05/16/2015 06:58:00 PM,04/20/2013,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown,0.0
A753432,,07/06/2017 12:28:00 PM,07/06/2017 12:28:00 PM,13201 Dessua Road Lot 128 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Poodle Mix,White,,07/10/2017 05:05:00 PM,07/10/2017 05:05:00 PM,07/06/2015,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,0.0
A731351,,07/20/2016 10:39:00 PM,07/20/2016 10:39:00 PM,12435 Dessau Rd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,07/21/2016 10:55:00 AM,07/21/2016 10:55:00 AM,07/20/2015,Other,Unknown,1 year,Bat Mix,Brown,1.0
A671526,Ethal,01/26/2014 01:03:00 PM,01/26/2014 01:03:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,12 years,Labrador Retriever Mix,Yellow,Ethal,02/01/2014 06:30:00 PM,02/01/2014 06:30:00 PM,01/26/2002,Dog,Spayed Female,12 years,Labrador Retriever Mix,Yellow,0.0
A701364,Miyu,04/28/2015 01:29:00 PM,04/28/2015 01:29:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby/White,Miyu,05/07/2015 02:49:00 PM,05/07/2015 02:49:00 PM,04/28/2011,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby/White,0.0
A748580,,05/04/2017 08:04:00 AM,05/04/2017 08:04:00 AM,1802 Perez in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby,,05/04/2017 02:23:00 PM,05/04/2017 02:23:00 PM,04/19/2017,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A796600,*June,06/03/2019 01:11:00 PM,06/03/2019 01:11:00 PM,508 East Howard Lane in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue/Tortie,*June,06/30/2019 03:07:00 PM,06/30/2019 03:07:00 PM,05/03/2019,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue/Tortie,0.0
A708271,,07/25/2015 07:41:00 AM,07/25/2015 07:41:00 AM,2016 Willow St in Austin (TX),Stray,Nursing,Cat,Unknown,1 week,Domestic Shorthair Mix,Gray Tabby,,07/25/2015 04:29:00 PM,07/25/2015 04:29:00 PM,07/18/2015,Cat,Unknown,1 week,Domestic Shorthair Mix,Gray Tabby,0.0
A744766,,03/07/2017 11:50:00 AM,03/07/2017 11:50:00 AM,10907 Spicewood Pkwy in Austin (TX),Wildlife,Nursing,Other,Unknown,1 weeks,Opossum Mix,Pink,,03/07/2017 01:30:00 PM,03/07/2017 01:30:00 PM,02/26/2017,Other,Unknown,1 weeks,Opossum Mix,Pink,1.0
A741813,*Harley,01/09/2017 01:35:00 PM,01/09/2017 01:35:00 PM,13700 Rector Loop in Manor (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Black/White,*Harley,01/15/2017 01:58:00 PM,01/15/2017 01:58:00 PM,01/09/2016,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,0.0
A679618,,05/23/2014 06:54:00 PM,05/23/2014 06:54:00 PM,9334 Lightwood Loop in Austin (TX),Stray,Normal,Other,Unknown,4 months,Tortoise Mix,Brown,,05/27/2014 12:29:00 PM,05/27/2014 12:29:00 PM,12/23/2013,Other,Unknown,5 months,Tortoise Mix,Brown,0.0
A728434,*Aldon,06/04/2016 11:10:00 AM,06/04/2016 11:10:00 AM,21201 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Male,6 months,Great Dane Mix,Fawn,*Aldon,06/11/2016 06:51:00 PM,06/11/2016 06:51:00 PM,12/04/2015,Dog,Neutered Male,6 months,Great Dane Mix,Fawn,0.0
A746506,Chico,04/04/2017 10:09:00 AM,04/04/2017 10:09:00 AM,3113 Lynridge Dr. in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Chihuahua Shorthair Mix,Tan/White,Chico,04/05/2017 06:45:00 PM,04/05/2017 06:45:00 PM,06/04/2016,Dog,Intact Male,10 months,Chihuahua Shorthair Mix,Tan/White,0.0
A763112,Hannah,12/03/2017 12:54:00 PM,12/03/2017 12:54:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,10 years,Labrador Retriever Mix,Tan/White,Hannah,06/13/2018 09:34:00 AM,06/13/2018 09:34:00 AM,12/03/2007,Dog,Spayed Female,10 years,Labrador Retriever Mix,Tan/White,0.0
A753723,,07/10/2017 12:51:00 PM,07/10/2017 12:51:00 PM,1000 Milford Way in Austin (TX),Wildlife,Nursing,Other,Unknown,4 weeks,Opossum Mix,Gray/Pink,,07/10/2017 01:59:00 PM,07/10/2017 01:59:00 PM,06/10/2017,Other,Unknown,4 weeks,Opossum Mix,Gray/Pink,0.0
A730904,Olivia,07/12/2016 04:30:00 PM,07/12/2016 04:30:00 PM,4701 Staggerbrush Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,Olivia,10/07/2016 01:51:00 PM,10/07/2016 01:51:00 PM,07/12/2014,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,0.0
A738263,Domino,11/12/2016 09:38:00 AM,11/12/2016 09:38:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Male,4 years,Pit Bull Mix,Blue Merle/White,Domino,11/22/2016 06:18:00 PM,11/22/2016 06:18:00 PM,11/12/2012,Dog,Neutered Male,4 years,Pit Bull Mix,Blue Merle/White,0.0
A778965,,08/23/2018 12:24:00 PM,08/23/2018 12:24:00 PM,12802 Coridan Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby/White,,08/23/2018 01:07:00 PM,08/23/2018 01:07:00 PM,08/02/2018,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby/White,0.0
A742251,,01/18/2017 01:03:00 PM,01/18/2017 01:03:00 PM,Navasota St And East 12Th St in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Pointer Mix,White/Brown Brindle,,01/18/2017 05:17:00 PM,01/18/2017 05:17:00 PM,11/18/2016,Dog,Intact Female,1 month,Pointer Mix,White/Brown Brindle,0.0
A696799,*Trina,02/12/2015 03:34:00 PM,02/12/2015 03:34:00 PM,1303 Mckie in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Tricolor,*Trina,02/18/2015 05:50:00 PM,02/18/2015 05:50:00 PM,02/12/2012,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tricolor,0.0
A700051,,04/06/2015 11:41:00 AM,04/06/2015 11:41:00 AM,Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair Mix,Brown Tabby,,04/09/2015 02:17:00 PM,04/09/2015 02:17:00 PM,04/06/2015,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby,0.0
A723531,*Clementine,04/02/2016 04:36:00 PM,04/02/2016 04:36:00 PM,12166 Metric Blvd in Austin (TX),Public Assist,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Black,*Clementine,04/17/2016 12:00:00 AM,04/17/2016 12:00:00 AM,10/14/2015,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black,0.0
A685911,Blue,08/14/2014 01:35:00 PM,08/14/2014 01:35:00 PM,3220 Duval Rd  #1510 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White,Blue,08/14/2014 05:49:00 PM,08/14/2014 05:49:00 PM,08/14/2012,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White,0.0
A694323,*Orion,12/25/2014 09:40:00 PM,12/25/2014 09:40:00 PM,Duval Rd. & Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Buff,*Orion,01/07/2015 05:59:00 PM,01/07/2015 05:59:00 PM,11/11/2014,Dog,Neutered Male,1 month,Labrador Retriever Mix,Buff,0.0
A682375,Lexi,01/02/2015 02:08:00 PM,01/02/2015 02:08:00 PM,6103 Manor Rd #118 in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tan,Lexi,01/18/2015 05:31:00 PM,01/18/2015 05:31:00 PM,06/27/2009,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan,0.0
A756990,,08/28/2017 05:00:00 PM,08/28/2017 05:00:00 PM,4411 Meinardus Dr in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,,08/28/2017 07:07:00 PM,08/28/2017 07:07:00 PM,08/13/2017,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A738964,,11/25/2016 10:15:00 AM,11/25/2016 10:15:00 AM,1601 East Slaughter  Lane #27 in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Longhair Mix,Black,,11/27/2016 02:50:00 PM,11/27/2016 02:50:00 PM,08/25/2016,Cat,Intact Male,3 months,Domestic Longhair Mix,Black,0.0
A789735,Kira,02/26/2019 04:32:00 PM,02/26/2019 04:32:00 PM,2303 Granberry Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Border Collie Mix,White/Black,Kira,03/07/2019 04:37:00 PM,03/07/2019 04:37:00 PM,08/26/2017,Dog,Spayed Female,1 year,Border Collie Mix,White/Black,0.0
A806569,*Turvy,10/12/2019 03:40:00 PM,10/12/2019 03:40:00 PM,8003 South Interstate Highway 35 in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby,*Turvy,01/17/2020 01:25:00 PM,01/17/2020 01:25:00 PM,09/02/2019,Cat,Neutered Male,4 months,Domestic Shorthair,Brown Tabby,0.0
